performance_id,portfolio_id,as_of_date,beginning_value,ending_value,return_amount,return_percent
PERF100185,P10016,2026-01-28,2131261.02,2087836.97,-43424.05,-2.0375
PERF100186,P10016,2026-02-27,2087836.97,2200904.65,113067.68,5.4155
PERF100187,P10016,2026-03-29,2200904.65,2270318.41,69413.76,3.1539
PERF100188,P10016,2026-04-28,2270318.41,2251999.42,-18318.99,-0.8069
PERF100189,P10016,2026-05-28,2251999.42,2241355.59,-10643.83,-0.4726
PERF100190,P10016,2026-06-27,2241355.59,2329992.34,88636.75,3.9546
PERF100191,P10016,2026-07-27,2329992.34,2360073.9,30081.56,1.2911
PERF100192,P10016,2026-08-26,2360073.9,2428012.36,67938.46,2.8787
PERF100193,P10017,2025-09-30,1386947.42,1375825.7,-11121.72,-0.8019
PERF100194,P10017,2025-10-30,1375825.7,1428681.34,52855.64,3.8417
PERF100195,P10017,2025-11-29,1428681.34,1426041.43,-2639.91,-0.1848
PERF100196,P10017,2025-12-29,1426041.43,1462608.8,36567.37,2.5643
PERF100197,P10017,2026-01-28,1462608.8,1540406.17,77797.37,5.3191
PERF100198,P10017,2026-02-27,1540406.17,1567414.41,27008.24,1.7533
PERF100199,P10017,2026-03-29,1567414.41,1624950.95,57536.54,3.6708
PERF100200,P10017,2026-04-28,1624950.95,1674153.13,49202.18,3.0279
PERF100201,P10017,2026-05-28,1674153.13,1719227.91,45074.78,2.6924
PERF100202,P10017,2026-06-27,1719227.91,1663178.06,-56049.85,-3.2602
PERF100203,P10017,2026-07-27,1663178.06,1676006.35,12828.29,0.7713
PERF100204,P10017,2026-08-26,1676006.35,1763219.62,87213.27,5.2036
PERF100205,P10018,2025-09-30,1008482.51,1044244.67,35762.16,3.5461
PERF100206,P10018,2025-10-30,1044244.67,1080641.38,36396.71,3.4855
PERF100207,P10018,2025-11-29,1080641.38,1098998.34,18356.96,1.6987
PERF100208,P10018,2025-12-29,1098998.34,1131886.98,32888.64,2.9926
PERF100209,P10018,2026-01-28,1131886.98,1151714.35,19827.37,1.7517
PERF100210,P10018,2026-02-27,1151714.35,1129078.65,-22635.7,-1.9654
PERF100211,P10018,2026-03-29,1129078.65,1153480.6,24401.95,2.1612
PERF100212,P10018,2026-04-28,1153480.6,1177445.57,23964.97,2.0776
PERF100213,P10018,2026-05-28,1177445.57,1225373.54,47927.97,4.0705
PERF100214,P10018,2026-06-27,1225373.54,1198782.71,-26590.83,-2.17
PERF100215,P10018,2026-07-27,1198782.71,1230269.24,31486.53,2.6265
PERF100216,P10018,2026-08-26,1230269.24,1190705.44,-39563.8,-3.2159
PERF100217,P10019,2025-09-30,2090571.19,2195807.34,105236.15,5.0338
PERF100218,P10019,2025-10-30,2195807.34,2140671.93,-55135.41,-2.5109
PERF100219,P10019,2025-11-29,2140671.93,2069396.89,-71275.04,-3.3296
PERF100220,P10019,2025-12-29,2069396.89,2055391.88,-14005.01,-0.6768
PERF100221,P10019,2026-01-28,2055391.88,2011465.72,-43926.16,-2.1371
PERF100222,P10019,2026-02-27,2011465.72,2066067.0,54601.28,2.7145
PERF100223,P10019,2026-03-29,2066067.0,2070062.71,3995.71,0.1934
PERF100224,P10019,2026-04-28,2070062.71,2141992.23,71929.52,3.4748
PERF100225,P10019,2026-05-28,2141992.23,2244479.89,102487.66,4.7847
PERF100226,P10019,2026-06-27,2244479.89,2342235.06,97755.17,4.3554
PERF100227,P10019,2026-07-27,2342235.06,2415372.18,73137.12,3.1225
PERF100228,P10019,2026-08-26,2415372.18,2344373.08,-70999.1,-2.9395
PERF100229,P10020,2025-09-30,2168096.56,2119157.04,-48939.52,-2.2573
PERF100230,P10020,2025-10-30,2119157.04,2084531.61,-34625.43,-1.6339
PERF100231,P10020,2025-11-29,2084531.61,2072554.85,-11976.76,-0.5746
PERF100232,P10020,2025-12-29,2072554.85,2123540.55,50985.7,2.46
PERF100233,P10020,2026-01-28,2123540.55,2149645.11,26104.56,1.2293
PERF100234,P10020,2026-02-27,2149645.11,2135108.64,-14536.47,-0.6762
PERF100235,P10020,2026-03-29,2135108.64,2093658.53,-41450.11,-1.9414
PERF100236,P10020,2026-04-28,2093658.53,2192251.37,98592.84,4.7091
PERF100237,P10020,2026-05-28,2192251.37,2183064.59,-9186.78,-0.4191
PERF100238,P10020,2026-06-27,2183064.59,2176266.15,-6798.44,-0.3114
PERF100239,P10020,2026-07-27,2176266.15,2251301.81,75035.66,3.4479
PERF100240,P10020,2026-08-26,2251301.81,2318577.94,67276.13,2.9883
PERF100241,P10021,2025-09-30,1790972.41,1831981.77,41009.36,2.2898
PERF100242,P10021,2025-10-30,1831981.77,1882174.77,50193.0,2.7398
PERF100243,P10021,2025-11-29,1882174.77,1919643.02,37468.25,1.9907
PERF100244,P10021,2025-12-29,1919643.02,1885672.59,-33970.43,-1.7696
PERF100245,P10021,2026-01-28,1885672.59,1861510.94,-24161.65,-1.2813
PERF100246,P10021,2026-02-27,1861510.94,1889857.65,28346.71,1.5228
PERF100247,P10021,2026-03-29,1889857.65,1861959.63,-27898.02,-1.4762
PERF100248,P10021,2026-04-28,1861959.63,1959827.87,97868.24,5.2562
PERF100249,P10021,2026-05-28,1959827.87,1943728.49,-16099.38,-0.8215
PERF100250,P10021,2026-06-27,1943728.49,1926255.09,-17473.4,-0.899
PERF100251,P10021,2026-07-27,1926255.09,1894770.45,-31484.64,-1.6345
PERF100252,P10021,2026-08-26,1894770.45,1948674.67,53904.22,2.8449
PERF100253,P10022,2025-09-30,646955.86,642772.43,-4183.43,-0.6466
PERF100254,P10022,2025-10-30,642772.43,640453.49,-2318.94,-0.3608
PERF100255,P10022,2025-11-29,640453.49,671856.87,31403.38,4.9033
PERF100256,P10022,2025-12-29,671856.87,696437.75,24580.88,3.6586
PERF100257,P10022,2026-01-28,696437.75,689202.58,-7235.17,-1.0389
PERF100258,P10022,2026-02-27,689202.58,672640.13,-16562.45,-2.4031
PERF100259,P10022,2026-03-29,672640.13,690058.82,17418.69,2.5896
PERF100260,P10022,2026-04-28,690058.82,689487.78,-571.04,-0.0828
PERF100261,P10022,2026-05-28,689487.78,726178.49,36690.71,5.3214
PERF100262,P10022,2026-06-27,726178.49,754248.17,28069.68,3.8654
PERF100263,P10022,2026-07-27,754248.17,792650.56,38402.39,5.0915
PERF100264,P10022,2026-08-26,792650.56,822307.92,29657.36,3.7415
PERF100265,P10023,2025-09-30,291500.74,288918.26,-2582.48,-0.8859
PERF100266,P10023,2025-10-30,288918.26,286285.27,-2632.99,-0.9113
PERF100267,P10023,2025-11-29,286285.27,294665.62,8380.35,2.9273
PERF100268,P10023,2025-12-29,294665.62,293537.85,-1127.77,-0.3827
PERF100269,P10023,2026-01-28,293537.85,294950.9,1413.05,0.4814
PERF100270,P10023,2026-02-27,294950.9,291435.07,-3515.83,-1.192
PERF100271,P10023,2026-03-29,291435.07,293800.69,2365.62,0.8117
PERF100272,P10023,2026-04-28,293800.69,288860.76,-4939.93,-1.6814
PERF100273,P10023,2026-05-28,288860.76,292752.3,3891.54,1.3472
PERF100274,P10023,2026-06-27,292752.3,307089.01,14336.71,4.8972
PERF100275,P10023,2026-07-27,307089.01,315581.68,8492.67,2.7655
PERF100276,P10023,2026-08-26,315581.68,308435.2,-7146.48,-2.2645
PERF100277,P10024,2025-09-30,342403.43,349392.2,6988.77,2.0411
PERF100278,P10024,2025-10-30,349392.2,355616.53,6224.33,1.7815
PERF100279,P10024,2025-11-29,355616.53,350929.94,-4686.59,-1.3179
PERF100280,P10024,2025-12-29,350929.94,359803.22,8873.28,2.5285
PERF100281,P10024,2026-01-28,359803.22,364406.45,4603.23,1.2794
PERF100282,P10024,2026-02-27,364406.45,372574.62,8168.17,2.2415
PERF100283,P10024,2026-03-29,372574.62,361294.63,-11279.99,-3.0276
PERF100284,P10024,2026-04-28,361294.63,362088.44,793.81,0.2197
PERF100285,P10024,2026-05-28,362088.44,372792.58,10704.14,2.9562
PERF100286,P10024,2026-06-27,372792.58,363118.26,-9674.32,-2.5951
PERF100287,P10024,2026-07-27,363118.26,375598.25,12479.99,3.4369
PERF100288,P10024,2026-08-26,375598.25,362627.46,-12970.79,-3.4534
PERF100289,P10025,2025-09-30,1625642.67,1649266.07,23623.4,1.4532
PERF100290,P10025,2025-10-30,1649266.07,1729451.69,80185.62,4.8619
PERF100291,P10025,2025-11-29,1729451.69,1732256.29,2804.6,0.1622
PERF100292,P10025,2025-12-29,1732256.29,1817401.69,85145.4,4.9153
PERF100293,P10025,2026-01-28,1817401.69,1897469.08,80067.39,4.4056
PERF100294,P10025,2026-02-27,1897469.08,1912592.6,15123.52,0.797
PERF100295,P10025,2026-03-29,1912592.6,1879984.88,-32607.72,-1.7049
PERF100296,P10025,2026-04-28,1879984.88,1977278.35,97293.47,5.1752
PERF100297,P10025,2026-05-28,1977278.35,1965227.02,-12051.33,-0.6095
PERF100298,P10025,2026-06-27,1965227.02,2010684.32,45457.3,2.3131
PERF100299,P10025,2026-07-27,2010684.32,2104612.08,93927.76,4.6714
PERF100300,P10025,2026-08-26,2104612.08,2047895.87,-56716.21,-2.6949
PERF100301,P10026,2025-09-30,988434.32,1004913.5,16479.18,1.6672
PERF100302,P10026,2025-10-30,1004913.5,1018141.88,13228.38,1.3164
PERF100303,P10026,2025-11-29,1018141.88,1048768.19,30626.31,3.0081
PERF100304,P10026,2025-12-29,1048768.19,1100472.72,51704.53,4.93
PERF100305,P10026,2026-01-28,1100472.72,1152404.77,51932.05,4.7191
PERF100306,P10026,2026-02-27,1152404.77,1130227.7,-22177.07,-1.9244
PERF100307,P10026,2026-03-29,1130227.7,1180412.12,50184.42,4.4402
PERF100308,P10026,2026-04-28,1180412.12,1157772.98,-22639.14,-1.9179
PERF100309,P10026,2026-05-28,1157772.98,1213076.48,55303.5,4.7767
PERF100310,P10026,2026-06-27,1213076.48,1279486.91,66410.43,5.4745
PERF100311,P10026,2026-07-27,1279486.91,1280420.31,933.4,0.073
PERF100312,P10026,2026-08-26,1280420.31,1292692.56,12272.25,0.9585
PERF100313,P10027,2025-09-30,740746.77,777261.72,36514.95,4.9295
PERF100314,P10027,2025-10-30,777261.72,817362.07,40100.35,5.1592
PERF100315,P10027,2025-11-29,817362.07,856876.27,39514.2,4.8344
PERF100316,P10027,2025-12-29,856876.27,894499.04,37622.77,4.3907
PERF100317,P10027,2026-01-28,894499.04,863937.63,-30561.41,-3.4166
PERF100318,P10027,2026-02-27,863937.63,877861.34,13923.71,1.6117
PERF100319,P10027,2026-03-29,877861.34,855613.75,-22247.59,-2.5343
PERF100320,P10027,2026-04-28,855613.75,901362.95,45749.2,5.3469
PERF100321,P10027,2026-05-28,901362.95,892899.65,-8463.3,-0.9389
PERF100322,P10027,2026-06-27,892899.65,941133.15,48233.5,5.4019
PERF100323,P10027,2026-07-27,941133.15,954212.12,13078.97,1.3897
PERF100324,P10027,2026-08-26,954212.12,963231.45,9019.33,0.9452
PERF100325,P10028,2025-09-30,1655284.92,1737172.6,81887.68,4.947
PERF100326,P10028,2025-10-30,1737172.6,1809430.95,72258.35,4.1595
PERF100327,P10028,2025-11-29,1809430.95,1822317.48,12886.53,0.7122
PERF100328,P10028,2025-12-29,1822317.48,1790159.09,-32158.39,-1.7647
PERF100329,P10028,2026-01-28,1790159.09,1745652.53,-44506.56,-2.4862
PERF100330,P10028,2026-02-27,1745652.53,1710083.96,-35568.57,-2.0376
PERF100331,P10028,2026-03-29,1710083.96,1720861.43,10777.47,0.6302
PERF100332,P10028,2026-04-28,1720861.43,1700475.83,-20385.6,-1.1846
PERF100333,P10028,2026-05-28,1700475.83,1669455.61,-31020.22,-1.8242
PERF100334,P10028,2026-06-27,1669455.61,1721702.24,52246.63,3.1296
PERF100335,P10028,2026-07-27,1721702.24,1783974.64,62272.4,3.6169
PERF100336,P10028,2026-08-26,1783974.64,1812697.18,28722.54,1.61
PERF100337,P10029,2025-09-30,510732.76,527666.33,16933.57,3.3155
PERF100338,P10029,2025-10-30,527666.33,517532.26,-10134.07,-1.9205
PERF100339,P10029,2025-11-29,517532.26,539296.14,21763.88,4.2053
PERF100340,P10029,2025-12-29,539296.14,563960.23,24664.09,4.5734
PERF100341,P10029,2026-01-28,563960.23,586196.67,22236.44,3.9429
PERF100342,P10029,2026-02-27,586196.67,592864.81,6668.14,1.1375
PERF100343,P10029,2026-03-29,592864.81,576742.68,-16122.13,-2.7194
PERF100344,P10029,2026-04-28,576742.68,591295.64,14552.96,2.5233
PERF100345,P10029,2026-05-28,591295.64,580433.72,-10861.92,-1.837
PERF100346,P10029,2026-06-27,580433.72,567463.97,-12969.75,-2.2345
PERF100347,P10029,2026-07-27,567463.97,564129.64,-3334.33,-0.5876
PERF100348,P10029,2026-08-26,564129.64,556978.87,-7150.77,-1.2676
PERF100349,P10030,2025-09-30,492165.99,486491.65,-5674.34,-1.1529
PERF100350,P10030,2025-10-30,486491.65,479776.56,-6715.09,-1.3803
PERF100351,P10030,2025-11-29,479776.56,495531.51,15754.95,3.2838
PERF100352,P10030,2025-12-29,495531.51,520735.8,25204.29,5.0863
PERF100353,P10030,2026-01-28,520735.8,516661.11,-4074.69,-0.7825
PERF100354,P10030,2026-02-27,516661.11,532191.65,15530.54,3.0059
PERF100355,P10030,2026-03-29,532191.65,514112.68,-18078.97,-3.3971
PERF100356,P10030,2026-04-28,514112.68,526364.76,12252.08,2.3832
PERF100357,P10030,2026-05-28,526364.76,540760.4,14395.64,2.7349
PERF100358,P10030,2026-06-27,540760.4,524857.28,-15903.12,-2.9409
