security_id,ticker_symbol,security_name,security_type,sector,country,currency,current_price,status
SEC10099,EIB255,European Investment Bond Series 5,BOND,GOVERNMENT,GERMANY,EUR,275.46,ACTIVE
SEC10100,STB255,Singapore Treasury Bond Series 5,BOND,GOVERNMENT,SINGAPORE,SGD,305.76,ACTIVE
SEC10101,AAPL6,Apple Inc. Series 6,EQUITY,TECHNOLOGY,USA,USD,323.46,ACTIVE
SEC10102,MSFT6,Microsoft Corp. Series 6,EQUITY,TECHNOLOGY,USA,USD,335.1,ACTIVE
SEC10103,AMZN6,Amazon.com Inc. Series 6,EQUITY,CONSUMER_DISCRETIONARY,USA,USD,357.09,ACTIVE
SEC10104,GOOGL6,Alphabet Inc. Series 6,EQUITY,COMMUNICATION_SERVICES,USA,USD,370.43,ACTIVE
SEC10105,NVDA6,NVIDIA Corp. Series 6,EQUITY,TECHNOLOGY,USA,USD,380.85,ACTIVE
SEC10106,TSLA6,Tesla Inc. Series 6,EQUITY,CONSUMER_DISCRETIONARY,USA,USD,397.89,ACTIVE
SEC10107,JPM6,JPMorgan Chase & Co. Series 6,EQUITY,FINANCIALS,USA,USD,418.15,ACTIVE
SEC10108,JNJ6,Johnson & Johnson Series 6,EQUITY,HEALTHCARE,USA,USD,444.97,ACTIVE
SEC10109,V6,Visa Inc. Series 6,EQUITY,FINANCIALS,USA,USD,460.7,ACTIVE
SEC10110,PG6,Procter & Gamble Co. Series 6,EQUITY,CONSUMER_STAPLES,USA,USD,479.1,ACTIVE
SEC10111,IVV6,iShares Core S&P 500 ETF Series 6,ETF,INDEX,USA,USD,497.08,ACTIVE
SEC10112,VTI6,Vanguard Total Stock Market ETF Series 6,ETF,INDEX,USA,USD,23.43,ACTIVE
SEC10113,VGK6,Vanguard FTSE Europe ETF Series 6,ETF,INDEX,USA,USD,41.43,ACTIVE
SEC10114,EEM6,iShares MSCI Emerging Markets ETF Series 6,ETF,INDEX,USA,USD,56.45,ACTIVE
SEC10115,QQQ6,Invesco QQQ Series 6,ETF,TECHNOLOGY,USA,USD,84.66,ACTIVE
SEC10116,ACB256,Apple Corporate Bond Series 6,BOND,CORPORATE_BONDS,USA,USD,103.7,ACTIVE
SEC10117,GGB256,Global Government Bond Series 6,BOND,GOVERNMENT,UK,GBP,113.42,ACTIVE
SEC10118,IGB256,India Government Bond Series 6,BOND,GOVERNMENT,INDIA,INR,134.22,ACTIVE
SEC10119,EIB256,European Investment Bond Series 6,BOND,GOVERNMENT,GERMANY,EUR,144.13,ACTIVE
SEC10120,STB256,Singapore Treasury Bond Series 6,BOND,GOVERNMENT,SINGAPORE,SGD,173.91,ACTIVE
